,IdEmployee,EmployeeNumber,Age,DateBirth,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,RemoteWork
0,0,"162,0",52,1972,No,no-data,684.0,6,3,none,1.0,Male,51.0,3,5, Research Director ,3,,19537.0,6462.0,7,No,13,"3,0",3,0,,5,"3,0",20,15,15,True
1,1,"259,0",53,1971,No,no-data,699.0,1,4,Life Sciences,1.0,Male,65.0,2,5, Manager ,3,,19999.0,5678.0,0,,14,"3,0",1,1,"34,0",5,"3,0",33,11,9,True
2,2,"319,0",43,1981,No,travel_rarely,532.0,4,2,Technical Degree,1.0,Male,58.0,3,5, Manager ,4,Married,19232.0,4933.0,1,No,11,"3,0",4,0,"22,0",3,,22,11,15,True
3,3,"1900,0",49,1975,No,no-data,117.0,22,3,Medical,1.0,Female,58.0,3,4, Manager ,4,,17174.0,2437.0,3,No,11,"3,0",2,1,,3,"3,0",22,4,7,True
4,4,"81,0",60,1964,No,no-data,1435.0,25,3,Life Sciences,1.0,Female,99.0,3,3, Sales Executive ,1,,,2354.0,7,,11,"3,0",4,0,"28,0",3,"2,0",21,7,9,True
5,5,"387,0",43,1981,No,travel_rarely,635.0,1,1,none,1.0,Male,99.0,3,2, Sales Executive ,3,Married,,24532.0,1,No,25,"4,0",3,0,"20,0",3,"3,0",20,11,6,False
6,6,"999,0",42,1982,No,travel_frequently,840.0,9,3,none,1.0,Male,64.0,3,5, Research Director ,3,,,3735.0,2,No,17,"3,0",2,1,"21,0",2,"4,0",18,0,11,False
7,7,"1035,0",42,1982,No,non-travel,247.0,7,1,none,1.0,Female,55.0,1,5, Research Director ,3,,19973.0,20284.0,1,No,22,"4,0",2,2,,3,"3,0",21,5,10,False
8,8,"58,0",42,1982,Yes,travel_rarely,1360.0,12,3,none,1.0,Female,49.0,3,5, Research Director ,3,Married,19545.0,16280.0,1,No,12,"3,0",4,0,,0,"3,0",22,15,8,False
9,9,"558,0",41,1983,No,travel_rarely,1398.0,2,4,none,1.0,Female,79.0,3,5, Manager ,3,,18041.0,13022.0,0,No,14,"3,0",4,0,,2,"3,0",20,1,12,False
10,10,"825,0",59,1965,Yes,travel_rarely,286.0,2,4,none,1.0,Male,31.0,3,5, Research Director ,2,Single,19246.0,25761.0,7,Yes,12,"3,0",4,0,"40,0",2,"3,0",31,13,8,False
11,11,"1712,0",46,1978,No,non-travel,1238.0,1,1,none,1.0,Male,74.0,2,3, Healthcare Representative ,3,,10748.0,3395.0,3,,23,"4,0",4,1,"25,0",3,"2,0",23,14,4,False
12,12,"73,0",34,1990,No,no-data,515.0,1,2,Life Sciences,1.0,Female,98.0,3,3, Research Director ,4,Single,,15146.0,1,Yes,12,"3,0",3,0,"15,0",1,"3,0",15,8,12,True
13,13,"820,0",48,1976,No,no-data,202.0,2,2,Other,1.0,Female,33.0,3,4, Manager ,4,Married,16752.0,12982.0,1,,11,"3,0",3,1,,3,"2,0",26,3,0,False
14,14,"1294,0",37,1987,No,no-data,429.0,2,4,Life Sciences,1.0,Female,53.0,3,2, Manufacturing Director ,2,Single,,2323.0,9,Yes,11,"3,0",4,0,"18,0",2,"3,0",16,5,12,False
15,15,"1774,0",35,1989,No,non-travel,,10,3,Life Sciences,1.0,Male,87.0,3,2, Sales Executive ,3,,4001.0,12313.0,1,Yes,14,"3,0",3,1,"15,0",3,"3,0",15,0,7,True
16,16,"1815,0",42,1982,No,no-data,,37,1,none,3.0,Female,81.0,3,3, Sales Executive ,3,Divorced,10447.0,26458.0,0,,13,"3,0",4,1,,3,"4,0",22,13,5,True
17,17,"1993,0",48,1976,No,no-data,1180.0,25,3,Medical,1.0,Male,84.0,3,3, Healthcare Representative ,3,,,13084.0,2,,23,"4,0",2,0,"25,0",3,"3,0",17,12,11,True
18,18,"32,0",54,1970,No,travel_rarely,1282.0,5,3,none,1.0,Female,58.0,3,5, Manager ,3,,,10735.0,4,,11,"3,0",4,1,"26,0",3,"2,0",14,4,8,True
19,19,"100,0",36,1988,No,no-data,776.0,1,4,Marketing,1.0,Male,32.0,2,2, Sales Executive ,1,Single,,23016.0,0,No,14,,2,0,"16,0",2,"3,0",15,2,8,False
